preferred_category,preferred_type,preferred_genre,content_category,content_type,primary_genre,category_match,type_match,genre_overlap_count,genre_overlap_ratio,view_count,log_views,days_since_publish,freshness_score,label
SERIES,SERIES,Drama,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,3084.0,8.034306936339489,800,0.11111111111111116,0.6566481496622698
MOVIE,FILM,Action,MOVIE,FILM,Action,1.0,1.0,2,1.0,1515.0,7.323830566202317,805,0.10555555555555551,0.9283151577512878
SERIES,SERIES,,MOVIE,FILM,Comedy,0.0,0.0,0,0.0,4620.0,8.438366410870266,679,0.24555555555555553,0.01023979357476406
DOCUMENTARY,DOCUMENTARY,History,MOVIE,FILM,Drama,0.0,0.0,0,0.0,4211.0,8.345692873253865,726,0.19333333333333336,0.06945801096528179
MOVIE,FILM,Comedy,MOVIE,FILM,Sci-Fi,1.0,1.0,0,0.0,965.0,6.873163834212518,153,0.83,0.7406794628886907
MOVIE,FILM,Sci-Fi,SERIES,SERIES,Drama,0.0,0.0,0,0.0,3133.0,8.050065422915965,404,0.5511111111111111,0.07306468098650046
SERIES,SERIES,Drama,SERIES,SERIES,Comedy,1.0,1.0,0,0.0,3044.0,8.021256180143997,671,0.2544444444444445,0.6377127362800976
MOVIE,FILM,Action,,SERIES,Action,0.0,0.0,2,1.0,4062.0,8.309676895987726,287,0.6811111111111111,0.3472068936580282
,SERIES,,DOCUMENTARY,DOCUMENTARY,History,0.0,0.0,0,0.0,2447.0,7.803026643632217,476,0.47111111111111115,0.06590644825534023
DOCUMENTARY,DOCUMENTARY,History,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,,,833,0.07444444444444442,
MOVIE,FILM,,MOVIE,FILM,Action,1.0,1.0,0,0.0,2938.0,7.985824666418917,203,0.7744444444444445,0.7335925628831207
MOVIE,FILM,Sci-Fi,MOVIE,FILM,Comedy,1.0,1.0,0,0.0,1785.0,7.487733761436444,102,0.8866666666666667,0.7899988501237896
SERIES,SERIES,Drama,,FILM,Drama,0.0,0.0,1,0.5,3118.0,8.045267716607803,573,0.3633333333333333,0.1849094099162884
,FILM,Action,MOVIE,FILM,Sci-Fi,1.0,1.0,1,0.5,3178.0,8.064321960910803,676,0.24888888888888894,0.7700253950476144
SERIES,SERIES,Drama,SERIES,SERIES,Drama,1.0,1.0,2,1.0,1900.0,7.550135342488429,524,0.4177777777777778,0.9407122039041936
DOCUMENTARY,DOCUMENTARY,History,SERIES,SERIES,Comedy,0.0,0.0,0,0.0,3764.0,8.233503140233994,298,0.6688888888888889,0.11008213669797069
MOVIE,FILM,Comedy,SERIES,SERIES,Action,1.0,1.0,0,0.0,1652.0,7.410347097821024,692,0.23111111111111116,0.7168216143586399
,FILM,,DOCUMENTARY,DOCUMENTARY,History,1.0,1.0,1,0.5,4287.0,8.363575702750637,148,0.8355555555555556,0.8857803405007736
SERIES,SERIES,Drama,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,814.0,6.703188113240863,321,0.6433333333333333,0.7248314122777781
MOVIE,FILM,Action,MOVIE,FILM,Action,1.0,1.0,2,1.0,1940.0,7.57095858316901,704,0.21777777777777774,0.9593255693284491
SERIES,SERIES,Drama,MOVIE,FILM,Comedy,0.0,0.0,0,0.0,1712.0,7.44600149832412,797,0.11444444444444446,0.008874892807310561
DOCUMENTARY,DOCUMENTARY,History,MOVIE,FILM,Drama,0.0,0.0,0,0.0,4737.0,8.463370384718731,567,0.37,0.055422433505146376
MOVIE,FILM,Comedy,MOVIE,FILM,Sci-Fi,1.0,1.0,0,0.0,3959.0,8.283999304248526,210,0.7666666666666666,0.7056871631100501
MOVIE,FILM,Sci-Fi,SERIES,SERIES,Drama,0.0,0.0,0,0.0,3190.0,8.068089626278244,128,0.8577777777777778,0.10994165979989695
SERIES,SERIES,Drama,SERIES,SERIES,Comedy,1.0,1.0,0,0.0,2018.0,7.610357618312838,609,0.32333333333333336,0.6448565605435901
MOVIE,FILM,Action,SERIES,SERIES,Action,0.0,0.0,2,1.0,4970.0,8.511376306094673,625,0.3055555555555556,0.3274384230981862
SERIES,SERIES,Drama,DOCUMENTARY,DOCUMENTARY,History,0.0,0.0,0,0.0,4477.0,8.4069317971587,492,0.45333333333333337,0.07603079374107548
DOCUMENTARY,DOCUMENTARY,History,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,1885.0,7.542213463193403,414,0.54,0.6633967598902244
MOVIE,FILM,Comedy,MOVIE,FILM,Action,1.0,1.0,0,0.0,2559.0,7.847762537473608,324,0.64,0.6884115721747678
MOVIE,FILM,Sci-Fi,,FILM,Comedy,0.0,1.0,0,0.0,2545.0,7.842278779117352,463,0.4855555555555555,0.37281554333069417
SERIES,SERIES,Drama,MOVIE,FILM,Drama,0.0,0.0,1,0.5,4822.0,8.481151420068972,375,0.5833333333333333,0.24117113668158238
MOVIE,FILM,,MOVIE,FILM,Sci-Fi,1.0,1.0,0,0.0,2583.0,7.857093864902493,376,0.5822222222222222,0.7730445661503202
SERIES,SERIES,Drama,SERIES,SERIES,Drama,1.0,1.0,2,1.0,1331.0,7.194436851100335,63,0.9299999999999999,1.0
DOCUMENTARY,DOCUMENTARY,History,SERIES,SERIES,Comedy,0.0,0.0,0,0.0,919.0,6.824373670043086,125,0.8611111111111112,0.12887394375402694
MOVIE,FILM,Comedy,SERIES,SERIES,Action,1.0,1.0,0,0.0,1998.0,7.6004023345004,822,0.08666666666666667,0.6327600889968238
MOVIE,FILM,Sci-Fi,DOCUMENTARY,DOCUMENTARY,History,1.0,1.0,1,0.5,2253.0,7.720461694599722,430,0.5222222222222221,0.7625739968873928
SERIES,SERIES,Drama,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,3514.0,8.164794804244766,283,0.6855555555555555,0.7328748763336254
MOVIE,FILM,Action,MOVIE,FILM,Action,1.0,1.0,2,1.0,335.0,5.817111159963204,337,0.6255555555555555,0.9240211500738601
SERIES,SERIES,Drama,MOVIE,FILM,Comedy,0.0,0.0,0,0.0,,,430,0.5222222222222221,
DOCUMENTARY,DOCUMENTARY,,MOVIE,FILM,Drama,0.0,0.0,0,0.0,150.0,5.017279836814924,349,0.6122222222222222,0.0651583397473832
MOVIE,FILM,Comedy,MOVIE,FILM,Sci-Fi,1.0,1.0,0,0.0,2705.0,7.903226808730733,598,0.3355555555555556,0.6844572814463118
MOVIE,FILM,,SERIES,SERIES,Drama,0.0,0.0,0,0.0,2234.0,7.711996507047669,748,0.16888888888888887,0.08314383584384116
SERIES,SERIES,Drama,SERIES,SERIES,Comedy,1.0,1.0,0,0.0,237.0,5.472270673671475,730,0.18888888888888888,0.6679215489063447
MOVIE,FILM,Action,SERIES,SERIES,Action,0.0,0.0,2,1.0,4559.0,8.425077902508432,526,0.41555555555555557,0.31424130112221016
SERIES,SERIES,Drama,DOCUMENTARY,DOCUMENTARY,History,0.0,0.0,0,0.0,846.0,6.741700694652055,781,0.13222222222222224,0.012115723835901458
DOCUMENTARY,DOCUMENTARY,History,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,3211.0,8.074649075066652,699,0.22333333333333338,0.6279801742147212
MOVIE,FILM,Comedy,,FILM,Action,0.0,1.0,0,0.0,3554.0,8.176110342237342,379,0.5788888888888889,0.3596379198044105
MOVIE,FILM,Sci-Fi,MOVIE,FILM,Comedy,1.0,1.0,0,0.0,134.0,4.90527477843843,741,0.17666666666666664,0.6578544113796214
SERIES,SERIES,Drama,MOVIE,FILM,Drama,0.0,0.0,1,0.5,3543.0,8.173011311724972,854,0.05111111111111111,0.21447350323728526
MOVIE,FILM,Action,MOVIE,FILM,Sci-Fi,1.0,1.0,1,0.5,387.0,5.961005339623274,848,0.05777777777777782,0.7761793704869568
SERIES,SERIES,Drama,SERIES,SERIES,Drama,1.0,1.0,2,1.0,4351.0,8.378390788535778,12,0.9866666666666667,1.0
,DOCUMENTARY,,SERIES,SERIES,Comedy,0.0,0.0,0,0.0,4790.0,8.474494436883122,335,0.6277777777777778,0.08546332954108377
MOVIE,FILM,,SERIES,SERIES,Action,1.0,1.0,0,0.0,3519.0,8.166216268592143,357,0.6033333333333333,0.681079314867899
MOVIE,FILM,Sci-Fi,DOCUMENTARY,DOCUMENTARY,History,1.0,1.0,1,0.5,1063.0,6.96979066990159,306,0.6599999999999999,0.8080233445548137
SERIES,SERIES,,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,927.0,6.833031732786201,6,0.9933333333333333,0.727945581320755
MOVIE,FILM,Action,MOVIE,FILM,Action,1.0,1.0,2,1.0,4088.0,8.316055720364643,285,0.6833333333333333,1.0
SERIES,SERIES,Drama,,FILM,Comedy,0.0,0.0,0,0.0,4789.0,8.474285690404962,778,0.13555555555555554,0.026577447136179357
DOCUMENTARY,DOCUMENTARY,History,MOVIE,FILM,Drama,0.0,0.0,0,0.0,513.0,6.2422232654551655,581,0.35444444444444445,0.08834233506966886
MOVIE,FILM,Comedy,MOVIE,FILM,Sci-Fi,1.0,1.0,0,0.0,1647.0,7.4073177104694174,170,0.8111111111111111,0.7069447078150312
MOVIE,FILM,Sci-Fi,,SERIES,Drama,0.0,0.0,0,0.0,1401.0,7.2456550675945355,73,0.9188888888888889,0.15203899068664747
SERIES,SERIES,,SERIES,SERIES,Comedy,1.0,1.0,0,0.0,342.0,5.8377304471659395,80,0.9111111111111111,0.7486051087483581
MOVIE,FILM,Action,,SERIES,Action,0.0,0.0,2,1.0,2345.0,7.76046702921342,739,0.17888888888888888,0.287680716533428
SERIES,SERIES,Drama,,DOCUMENTARY,History,0.0,0.0,0,0.0,960.0,6.8679744089702925,721,0.1988888888888889,0.049190343811360504
DOCUMENTARY,DOCUMENTARY,History,,DOCUMENTARY,Science,0.0,1.0,0,0.0,3224.0,8.078688229229872,156,0.8266666666666667,0.3789283168225844
MOVIE,FILM,Comedy,MOVIE,FILM,Action,1.0,1.0,0,0.0,4580.0,8.429672593886743,398,0.5577777777777777,0.7266251553506259
MOVIE,FILM,Sci-Fi,MOVIE,FILM,Comedy,1.0,1.0,0,0.0,2487.0,7.81923445385907,489,0.45666666666666667,0.6867693153847059
SERIES,SERIES,Drama,MOVIE,FILM,Drama,0.0,0.0,1,0.5,,5.424950017481403,635,0.2944444444444444,0.13678716049801098
MOVIE,FILM,,MOVIE,FILM,Sci-Fi,1.0,1.0,1,0.5,,,414,0.54,
SERIES,SERIES,Drama,SERIES,SERIES,Drama,1.0,1.0,2,1.0,1760.0,7.473637108496206,261,0.71,0.9693938024583134
DOCUMENTARY,DOCUMENTARY,History,SERIES,SERIES,Comedy,0.0,0.0,0,0.0,808.0,6.695798917058491,68,0.9244444444444444,0.16957628843479522
MOVIE,FILM,Comedy,SERIES,SERIES,Action,1.0,1.0,0,0.0,4463.0,8.403800504061147,809,0.10111111111111115,0.6722610839808083
MOVIE,FILM,Sci-Fi,DOCUMENTARY,DOCUMENTARY,History,1.0,1.0,1,0.5,1239.0,7.122866658599083,53,0.9411111111111111,0.862209146477144
SERIES,SERIES,Drama,DOCUMENTARY,DOCUMENTARY,Science,1.0,1.0,0,0.0,2340.0,7.75833346749091,734,0.1844444444444444,0.6815007107102583
MOVIE,FILM,Action,MOVIE,FILM,Action,1.0,1.0,2,1.0,3136.0,8.051022208190679,649,0.27888888888888885,0.9628512620653855
